ni,nj,processes,time,iter,idim,jdim,isize,jsize
192,128,32,0.0141373510,7201,8,4,24,32
192,128,48,0.0152178993,7201,12,4,16,32
256,192,32,0.0181086469,3801,8,4,32,48
256,192,48,0.0176513800,3801,8,6,32,32
512,384,32,0.0302871696,10001,8,4,64,96
512,384,48,0.0248924158,10001,8,6,64,64
768,768,32,0.0679730382,9901,8,4,96,192
768,768,48,0.0479756407,9901,8,6,96,128
192,128,32,0.0147708935,7201,8,4,24,32
192,128,48,0.0156002100,7201,12,4,16,32
256,192,32,0.0171481356,3801,8,4,32,48
256,192,48,0.0158692309,3801,8,6,32,32
512,384,32,0.0336298215,10001,8,4,64,96
512,384,48,0.0255317429,10001,8,6,64,64
768,768,32,0.0628302187,9901,8,4,96,192
768,768,48,0.0498345640,9901,8,6,96,128
192,128,32,0.0155752127,7201,8,4,24,32
192,128,48,0.0148644598,7201,12,4,16,32
256,192,32,0.0191241683,3801,8,4,32,48
256,192,48,0.0238960525,3801,8,6,32,32
192,128,32,0.0161231682,7201,8,4,24,32
192,128,3,0.0175634137,7201,3,1,64,128
192,128,48,0.0162120330,7201,12,4,16,32
192,128,4,0.0150462287,7201,2,2,96,64
256,192,32,0.0182291421,3801,8,4,32,48
192,128,6,0.0126139354,7201,3,2,64,64
256,192,48,0.0191662569,3801,8,6,32,32
192,128,8,0.0108815352,7201,4,2,48,64
192,128,12,0.0095516091,7201,6,2,32,64
512,384,32,0.0307589290,10001,8,4,64,96
192,128,16,0.0101090338,7201,4,4,48,32
512,384,48,0.0266328405,10001,8,6,64,64
192,128,24,0.0095643561,7201,6,4,32,32
768,768,32,0.0615114636,9901,8,4,96,192
256,192,1,0.0884251919,3801,1,1,256,192
768,768,48,0.0482038252,9901,8,6,96,128
256,192,2,0.0497866417,3801,2,1,128,192
192,128,32,0.0140152777,7201,8,4,24,32
512,384,1,0.3685206488,10001,1,1,512,384
192,128,48,0.0143275958,7201,12,4,16,32
512,384,2,0.1931713767,10001,2,1,256,384
256,192,32,0.0240871135,3801,8,4,32,48
512,384,3,0.1383361763,10001,1,3,512,128
256,192,48,0.0194261903,3801,8,6,32,32
512,384,32,0.0288723207,10001,8,4,64,96
512,384,4,0.1080566830,10001,2,2,256,192
512,384,48,0.0273372731,10001,8,6,64,64
512,384,6,0.0800439899,10001,2,3,256,128
512,384,8,0.0618468188,10001,4,2,128,192
768,768,32,0.0657521406,9901,8,4,96,192
512,384,12,0.0429775176,10001,4,3,128,128
768,768,48,0.0509349593,9901,8,6,96,128
512,384,16,0.0341869738,10001,4,4,128,96
512,384,24,0.0249785002,10001,8,3,64,128
768,768,1,1.1064899340,9901,1,1,768,768
192,128,64,0.0206020007,7201,8,8,24,16
256,192,64,0.0217882341,3801,8,8,32,24
768,768,2,0.5725668050,9901,2,1,384,768
512,384,64,0.0279865173,10001,8,8,64,48
768,768,64,0.0479969758,9901,8,8,96,96
768,768,3,0.4013226907,9901,3,1,256,768
256,192,64,0.0211018319,3801,8,8,32,24
192,128,1,0.0448397441,7201,1,1,192,128
512,384,64,0.0271677983,10001,8,8,64,48
192,128,2,0.0237024024,7201,2,1,96,128
192,128,3,0.0174213095,7201,3,1,64,128
768,768,64,0.0458160755,9901,8,8,96,96
256,192,2,0.0497710858,3801,2,1,128,192
192,128,64,0.0192128756,7201,8,8,24,16
256,192,3,0.0360718340,3801,1,3,256,64
256,192,64,0.0204609056,3801,8,8,32,24
256,192,4,0.0273719708,3801,2,2,128,96
512,384,64,0.0285745418,10001,8,8,64,48
256,192,6,0.0217882341,3801,2,3,128,64
768,768,64,0.0462527950,9901,8,8,96,96
256,192,8,0.0176713894,3801,4,2,64,96
512,384,6,0.0798947071,10001,2,3,256,128
192,128,64,0.0240817995,7201,8,8,24,16
512,384,8,0.0620485961,10001,4,2,128,192
256,192,64,0.0207261705,3801,8,8,32,24
512,384,12,0.0434071764,10001,4,3,128,128
512,384,64,0.0343671764,10001,8,8,64,48
512,384,16,0.0340698981,10001,4,4,128,96
768,768,64,0.0441303856,9901,8,8,96,96
192,128,1,0.0440074808,7201,1,1,192,128
192,128,2,0.0235364596,7201,2,1,96,128
192,128,3,0.0175693733,7201,3,1,64,128
192,128,64,0.0189483340,7201,8,8,24,16
192,128,4,0.0146300474,7201,2,2,96,64
256,192,64,0.0223904589,3801,8,8,32,24
192,128,6,0.0125848987,7201,3,2,64,64
512,384,64,0.0298408231,10001,8,8,64,48
192,128,8,0.0108947457,7201,4,2,48,64
768,768,64,0.0460560352,9901,8,8,96,96
192,128,12,0.0093256727,7201,6,2,32,64
192,128,16,0.0101959452,7201,4,4,48,32
192,128,24,0.0094943635,7201,6,4,32,32
256,192,1,0.0883953975,3801,1,1,256,192
256,192,2,0.0502770275,3801,2,1,128,192
256,192,3,0.0368887046,3801,1,3,256,64
256,192,4,0.0280568048,3801,2,2,128,96
256,192,6,0.0217240661,3801,2,3,128,64
256,192,8,0.0177595183,3801,4,2,64,96
256,192,12,0.0140954870,3801,4,3,64,64
256,192,16,0.0140776104,3801,4,4,64,48
256,192,24,0.0122677994,3801,8,3,32,64
512,384,1,0.3689665900,10001,1,1,512,384
512,384,2,0.1924910458,10001,2,1,256,384
512,384,3,0.1385216474,10001,1,3,512,128
512,384,4,0.1079962976,10001,2,2,256,192
512,384,6,0.0791442882,10001,2,3,256,128
512,384,8,0.0616061355,10001,4,2,128,192
512,384,12,0.0431826801,10001,4,3,128,128
512,384,16,0.0353812599,10001,4,4,128,96
512,384,24,0.0251073764,10001,8,3,64,128
